Month,Monthly Growth of Nominal Exchange Rate (%),Real Exchange Rate (%),Monthly Growth in the Real Exchange Rate (%),Monthly Inflation Rate Germany(%),Monthly Growth in Industrial Production (%),Yearly Growth of Industrial Production (%),International Reserve Index Germany,Monthly Inflation Rate US(%),International Reserve Index US
1967-08-01,0.0,2.072433619517342,0.7725204165063726,-0.4694922950683189,-7.799227799227659,0.3915095219416619,167.1305537161794,0.2994011976046984,67.9985659811622
1967-09-01,0.0,2.078619988530825,0.29850746268649253,0.0,18.3835845896148,22.93240579313803,169.6102810328874,0.29850746268649253,68.20249463406913
1967-10-01,0.0,2.079900839421616,0.06162025275704419,0.23585346136292262,2.971347718429418,6.253889931179196,170.68397550038887,0.29761904761895774,69.49730190286851
1967-11-01,0.0,2.081175676816163,0.061293181404820096,0.2352985017021192,4.706286499484547,210.61490896600765,173.9680592312373,0.2967359050444429,71.8760039295841
1967-12-01,0.0,2.0873330013037834,0.29585798816560427,0.0,0.8366141732284893,-111.91467914337024,172.58717770667985,0.29585798816560427,69.04800703972886
1968-01-01,0.0,2.080116466310345,-0.34572993331351,0.9389466544311498,-14.364730762973865,67.90501928064602,167.39909724144596,0.5899705014754231,68.06933574198835
1968-02-01,0.0,2.081376014304928,0.060551801544916906,0.2325625096305295,5.642097264437718,48.86228203487779,174.23441021768537,0.2932551319647203,68.85990846490145
1968-03-01,0.0,2.0874619090835957,0.29239766081863294,0.0,5.700413594677189,135.39088835797526,181.1936316730731,0.29239766081863294,64.84046540429554
1968-04-01,0.0,2.0935478038622635,0.2915451895042942,0.0,3.5556311670635665,1.8707445660323583,180.78347470258305,0.2915451895042942,64.43633282273572
1968-05-01,0.0,2.0996336986409316,0.29069767441853855,0.0,0.8378511582061376,-343.1973230266968,178.4662721785979,0.29069767441853855,66.80432626722103
1968-06-01,0.0,2.111805488198267,0.57971014492737,0.0,7.201042684913483,-549.7378476850262,188.16955988544123,0.5797101449273923,65.47413411800859
1968-07-01,0.0,2.123977277755616,0.576368876081168,0.0,-15.410334346504474,265.5223164293585,187.0307950273977,0.576368876081168,66.88580461027745
1968-08-01,0.0,2.135016900905045,0.5197618291422845,-0.23202291132502495,2.26374416097741,-129.02523453926534,189.6103403121013,0.2865329512893311,67.17074601570903
1968-09-01,0.0,2.1411169491933433,0.2857142857142003,0.0,13.38721011946593,-27.17845611552497,195.08558198812653,0.2857142857142003,68.13405282590173
1968-10-01,0.0,2.1483208568702867,0.33645559060460073,0.2325625096305295,1.084598698481476,-63.49808904039113,192.0678236746157,0.5698005698004049,67.17307396836777
1968-11-01,0.0,2.1395142618135257,-0.4099292258229359,0.6960687339754301,10.193133047210257,116.58547664547523,230.59956999970552,0.28328611898011946,72.91008050060294
1968-12-01,0.0,2.1406256783497026,0.05194714314429305,0.23041903645513173,-5.828348866323441,-796.6591115510123,210.61705041587518,0.2824858757061399,73.14380694754192
1969-01-01,0.0,2.1417319965504036,0.05168200175724724,0.22988932768137627,-8.655834564254105,-39.742451793352465,181.55685999235988,0.28169014084500343,71.95236077679125
1969-02-01,0.0,2.1439294776283826,0.10260299054776212,0.45872409761915645,6.0155239327295495,6.618579063596611,177.6320106934151,0.5617977528094675,72.16373887820617
1969-03-01,0.0,2.156971479680664,0.6083223440123797,0.22827781783074652,3.4777303233680223,-38.991614106467935,171.6731389112643,0.8379888268154057,73.36961835544112
1969-04-01,0.0,2.1689214601775073,0.5540166204984986,0.0,3.228183962264075,-9.209256793356188,186.66822765045444,0.5540166204984764,74.25051564151393
1969-05-01,0.0,2.169953411358296,0.04757900180969443,0.22779470940521573,2.327573896901325,177.80279040071085,244.91021299687122,0.2754820936638369,74.81993286184533
1969-06-01,0.0,2.1818762322998353,0.5494505494510138,0.0,0.8372871895061085,-88.37269509233346,213.5237735700247,0.5494505494510138,74.7603372737812
1969-07-01,0.0,2.193799053241361,0.5464480874315392,0.0,-12.288956545806851,-20.255094604132616,213.86364989356403,0.5464480874315392,74.19557595876731
1969-08-01,0.0,2.2107463919164694,0.7725109849996858,-0.22727698445892397,-0.3628905017355355,-116.03054390999958,226.52170831561733,0.5434782608694455,75.40285220759752
1969-09-01,0.0,2.2167213821648906,0.2702702702702009,0.0,11.480601741884255,-14.242014285032653,260.2974244157197,0.2702702702702009,77.95475391212446
1969-10-01,-1.000000082740371e-07,2.223606103371583,0.3105812603282132,0.22779470940521573,4.034090909090948,271.9431818182149,226.3167302738051,0.539083557951936,75.96481997942091
1969-11-01,-5.000000413701855e-08,2.040870538716484,0.08231135250686417,0.22727698445892397,9.393773894047076,-7.842134007874607,185.89427277502898,0.5361930294904615,74.49588185174666
1969-12-01,0.0,2.0378917135623342,-0.14595855531448487,0.6802848225466951,-7.775836245631562,33.41404957003902,148.88835426844162,0.533333333333208,78.98091544410353
1970-01-01,0.0,2.020543704385175,-0.851272374371359,1.1261106324803594,-7.673568818514054,-11.348018939693024,148.55978917068276,0.2652519893898475,80.99659653321291
1970-02-01,0.0,2.0267204732733997,0.3056983560820292,0.22272131761176261,6.156552330694853,2.344407561874864,152.0715893083212,0.5291005291003792,82.26812427542475
1970-03-01,0.0,2.028372266929463,0.08150081265994036,0.444452744215762,4.4739022369510995,28.644311690572096,155.8431419833826,0.5263157894741299,80.78289047913923
1970-04-01,0.0,2.0352959901593923,0.34134381261337055,0.4424861025897231,-0.7533703409993153,-123.33728033488345,159.21111890001671,0.7853403141359294,78.77191185440053
1970-05-01,0.0,2.0405824732507134,0.2597402597401599,0.0,8.736183246770679,275.33430231371256,166.1890863235434,0.2597402597401821,75.26219730795555
1970-06-01,0.0,2.046647322240448,0.2972116574182504,0.2202683942621686,-7.238211879975543,-964.4837721983009,187.2880960448706,0.5181347150257531,76.02297223683661
1970-07-01,0.0,2.057197050705614,0.5154639175261932,0.0,-9.717454449432307,-20.925308725678374,211.92163485233522,0.5154639175262155,74.79893472886336
1970-08-01,0.0,2.057197050705614,0.0,0.0,-4.15326118748176,-6.637667253096945,217.5098662091297,0.0,73.5437026552628
1970-09-01,0.0,2.0677467791707684,0.5128205128204,0.0,12.358864815380088,7.649974219484483,239.878755897646,0.5128205128203778,72.29545443963852
1970-10-01,0.0,2.069201682574742,0.07036177827137724,0.43953304009805017,3.734383487235071,-7.429367076990684,252.2617713443937,0.5102040816325148,70.39677625115816
